Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
SURVEY,2019,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,HONEY,"HONEY, RETAIL - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,4.85,
SURVEY,2019,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,HONEY,"HONEY, WATER WHITE & EXTRA WHITE & WHITE - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,1.67,
SURVEY,2019,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,HONEY,"HONEY, WATER WHITE & EXTRA WHITE & WHITE, RETAIL - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,3.99,
SURVEY,2019,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,HONEY,"HONEY, WATER WHITE & EXTRA WHITE & WHITE, WHOLESALE - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,1.61,
SURVEY,2019,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,HONEY,"HONEY, WHOLESALE - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,1.7,
SURVEY,2018,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,HONEY,"HONEY, RETAIL - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,4.38,
SURVEY,2018,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,HONEY,"HONEY, WATER WHITE & EXTRA WHITE & WHITE - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,2.01,
SURVEY,2018,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,HONEY,"HONEY, WATER WHITE & EXTRA WHITE & WHITE, RETAIL - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,3.63,
SURVEY,2018,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,HONEY,"HONEY, WATER WHITE & EXTRA WHITE & WHITE, WHOLESALE - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,1.98,
SURVEY,2018,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,HONEY,"HONEY, WHOLESALE - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,2.03,
SURVEY,2017,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,HONEY,"HONEY, RETAIL - PRICE RECEIVED, MEASURED IN CENTS / LB",TOTAL,NOT SPECIFIED,477,
SURVEY,2017,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,HONEY,"HONEY, WATER WHITE & EXTRA WHITE & WHITE - PRICE RECEIVED, MEASURED IN CENTS / LB",TOTAL,NOT SPECIFIED,206,
SURVEY,2017,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,HONEY,"HONEY, WATER WHITE & EXTRA WHITE & WHITE, RETAIL - PRICE RECEIVED, MEASURED IN CENTS / LB",TOTAL,NOT SPECIFIED,314,
SURVEY,2017,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,HONEY,"HONEY, WATER WHITE & EXTRA WHITE & WHITE, WHOLESALE - PRICE RECEIVED, MEASURED IN CENTS / LB",TOTAL,NOT SPECIFIED,205,
SURVEY,2017,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,HONEY,"HONEY, WHOLESALE - PRICE RECEIVED, MEASURED IN CENTS / LB",TOTAL,NOT SPECIFIED,205,
SURVEY,2016,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,HONEY,"HONEY, RETAIL - PRICE RECEIVED, MEASURED IN CENTS / LB",TOTAL,NOT SPECIFIED,475,
SURVEY,2016,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,HONEY,"HONEY, WATER WHITE & EXTRA WHITE & WHITE - PRICE RECEIVED, MEASURED IN CENTS / LB",TOTAL,NOT SPECIFIED,196,
SURVEY,2016,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,HONEY,"HONEY, WATER WHITE & EXTRA WHITE & WHITE, RETAIL - PRICE RECEIVED, MEASURED IN CENTS / LB",TOTAL,NOT SPECIFIED,464,
SURVEY,2016,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,HONEY,"HONEY, WATER WHITE & EXTRA WHITE & WHITE, WHOLESALE - PRICE RECEIVED, MEASURED IN CENTS / LB",TOTAL,NOT SPECIFIED,189,
SURVEY,2016,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,HONEY,"HONEY, WHOLESALE - PRICE RECEIVED, MEASURED IN CENTS / LB",TOTAL,NOT SPECIFIED,192,
SURVEY,2015,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,HONEY,"HONEY, RETAIL - PRICE RECEIVED, MEASURED IN CENTS / LB",TOTAL,NOT SPECIFIED,410,
SURVEY,2015,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,HONEY,"HONEY, WATER WHITE & EXTRA WHITE & WHITE - PRICE RECEIVED, MEASURED IN CENTS / LB",TOTAL,NOT SPECIFIED,191,
