Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2020-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,
Aruba,ABW,"Agriculture, forestry, and fishing, value added (current US$)",NV.AGR.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6681564.24581006,6703910.61452514,6586592.17877095,6793296.08938548,6603351.95530726,7681564.24581006,7779329.60893855,7808379.88826816,8112849.16201117,8727932.96089385,9012290.5027933,9546927.37430168,10597206.7039106,10451955.3072626,11005027.9329609,,,,,,,,,,,
Afghanistan,AFG,"Agriculture, forestry, and fishing, value added (current US$)",NV.AGR.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1566429360.70935,1689672146.2631,1553453355.4214,1931964915.97896,1996295478.42875,2934602218.87605,2516413856.92712,3644341667.51398,4156019104.80349,4227388546.40604,4878568830.24723,4690112703.56387,4534744861.96484,4107697613.7642,4081855308.9672,4132548614.56044,,,
Angola,AGO,"Agriculture, forestry, and fishing, value added (current US$)",NV.AGR.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368504825.790174,528873555.808731,688508306.952096,840031172.522658,387034655.565374,517163204.882735,728859048.232153,892609948.954978,1104099935.26016,1472209717.57715,1870877459.72595,2719244833.46004,3421449079.01718,4254580694.73061,4655175861.79946,5179054574.41704,6534868426.82371,7772334516.27771,8896384125.08302,10996982491.7805,10599805694.1197,9941656304.30585,12233138227.1752,,,
Albania,ALB,"Agriculture, forestry, and fishing, value added (current US$)",NV.AGR.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1165012358.98177,712411315.610089,732871328.393755,832545039.826213,853221626.576301,890951830.711402,957670053.516308,1233305513.39787,1475550839.28603,1517434412.43293,1575351720.73547,1831547453.82786,2168844717.06165,2022753561.08408,2141586393.21739,2349588284.85059,2312029253.70154,2499701141.39759,2644346373.50302,2252359940.55293,2354475922.11753,2476628740.45862,2782467228.2043,,
Andorra,AND,"Agriculture, forestry, and fishing, value added (current US$)",NV.AGR.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6992813.70923162,6872483.22147651,7039337.47412008,10654627.5395034,12987335.4854731,13194876.2591717,13549115.5438464,16041609.6359157,17723743.9578146,15921089.1914421,16768211.9205298,18404225.7436753,19375562.1225748,18945831.1205523,16624651.7181903,13219474.3262726,14159292.0353982,14570655.8485463,,,
Arab World,ARB,"Agriculture, forestry, and fishing, value added (current US$)",NV.AGR.TOTL.CD,,,,,,,,,3944290130.29383,4194752689.00356,4856000129.27141,5312492830.89522,6170304722.4234,7249866101.12114,8321378489.28177,9442601592.37571,10858389939.1088,12129670775.3706,13058861003.5983,14170225742.9257,15104173585.9593,16918858995.3159,18997758794.5034,19603186787.9933,22069727573.5728,25178516450.9921,27999317754.4176,30822871788.7013,31591297383.0526,33389584094.5664,39292398045.2426,40292110929.8818,38968657515.5067,39454425933.854,42710952030.4118,45010823548.719,50320693220.0264,51616616610.8028,55044052023.2405,54587842425.8444,55220042264.4997,57443537970.0655,57032949070.7186,60780754753.3217,63071117807.3333,66914092389.781,75953079136.7943,84512579245.3136,96329945499.1707,105080586016.05,116915468186.802,130142996299.291,138601706789.164,151171877461.664,157915164856.019,160090221943.99,157502170086.024,154315479076.667,128410713975.976,,
United Arab Emirates,ARE,"Agriculture, forestry, and fishing, value added (current US$)",NV.AGR.TOTL.CD,,,,,,,,,,,,,,,,79519349.7084291,104727935.038324,120667127.814926,149566026.038438,170872972.193831,213896531.261801,270498501.770635,298556251.702533,312721329.338055,352220103.514029,375919368.019613,402070280.577499,415962952.873876,434486515.935712,494688095.886679,536638518.114955,669027512.939254,747752655.952057,823753745.573413,1085535276.49142,1174884227.73086,1318714246.79924,1579950967.03895,1650374404.35671,1970319945.54118,2360789652.82505,2312321307.01157,2419605173.58747,2397004765.14636,2461810755.61607,2520353982.30089,2430496936.69163,2518992511.91287,2609938733.83254,2628999319.26481,2212389380.53097,2356160653.50579,2393192648.0599,2511368277.73996,2578080326.75289,2653778080.32675,2770864533.69639,2971272974.8128,3060040844.11164,,
Argentina,ARG,"Agriculture, forestry, and fishing, value added (current US$)",NV.AGR.TOTL.CD,,,,,,3657647056.60044,2942857060.50856,2420909129.36153,2570000119.25664,2871142801.33423,3043947529.01047,3617599855.69986,3815374911.49548,6280333430.12474,7410889160.41332,3452513642.24721,4171424983.67595,4591960171.9475,4358786867.94092,5399103642.79354,4889779676.74007,5094736992.14826,8090277995.49755,9002848956.56769,6601000166.75529,6750000170.51935,8653333202.14999,8993333404.72614,11330681729.6845,7369454003.07303,11483008746.543,12742527110.645,13706238946.0933,12161011111.1111,13084820500,13808477800,15269958100,15293015300,15702922200,12638962300,13300482400,12275651800,9974343869.19277,13177395614.839,13769497386.4639,15777249624.7271,16129176942.5676,21427791191.1784,26462268578.7967,17559926036.6081,30213817111.0998,37104716624.8996,31567304377.5225,33413631489.5722,35330279234.9601,30669352553.9863,34926920030.8981,35209336044.244,31697236924.7197,,
Armenia,ARM,"Agriculture, forestry, and fishing, value added (current US$)",NV.AGR.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1902205025.83606,2050215843.39069,2098075398.18975,1817614014.78035,1728561492.24893,1728457123.06439,1702818691.89838,,
American Samoa,ASM,"Agriculture, forestry, and fishing, value added (current US$)",NV.AGR.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
